                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.99437,                 1.9647,                 1.2232,                0.85845,                0.81533,                0.86249,                0.68701,                0.76258,                0.87235,                 1.0412,                0.07002,              0.0033311,              0.0033311
                      1,                0.87979,                0.97731,                 1.1388,                0.90002,                0.88449,                0.89951,                0.73888,                0.71046,                 0.6818,                 1.0283,               0.037821,              0.0044652,              0.0044652
                      2,                0.83728,                0.82798,                 1.1162,                0.91421,                  0.891,                0.91001,                0.75514,                0.66929,                0.59522,                0.99488,              0.0034216,              0.0033992,              0.0033992
