                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.99437,                 1.9647,                 1.2232,                0.85845,                0.81533,                0.86249,                0.68701,                0.76258,                0.87235,                 1.0412,                0.07002,              0.0033311,              0.0033311
                      1,                0.91245,                 1.0208,                 1.1595,                0.88005,                0.82268,                0.86941,                 0.7006,                0.75034,                0.78925,                 1.0655,               0.039888,              0.0065325,              0.0065325
                      2,                0.93434,                  0.959,                 1.1803,                0.90566,                 0.8634,                0.88846,                0.72334,                0.73734,                0.69093,                 1.0502,              0.0096242,              0.0096019,              0.0096019
                      3,                 0.9323,                0.89675,                 1.1892,                0.91607,                  0.866,                0.91018,                0.75251,                0.71496,                0.63154,                 1.0549,               0.009406,               0.009406,               0.009406
                      4,                0.89873,                0.79746,                 1.1704,                0.92835,                0.90117,                0.91659,                0.76787,                0.68238,                0.54791,                 1.0199,               0.009406,               0.009406,               0.009406
                      5,                0.87007,                 0.7417,                 1.1559,                0.91949,                0.88891,                0.91581,                0.77009,                0.68383,                0.50847,                 1.0424,               0.009208,               0.009208,               0.009208
                      6,                0.84827,                0.69709,                 1.1445,                0.91298,                  0.906,                0.92903,                0.79335,                0.64078,                0.47943,                0.99598,                0.00901,                0.00901,                0.00901
                      7,                0.83072,                0.67634,                 1.1322,                0.94035,                0.89614,                0.92761,                0.79483,                0.64377,                0.46743,                0.99995,               0.008812,               0.008812,               0.008812
                      8,                0.82052,                0.64989,                 1.1287,                0.92029,                0.90548,                0.92623,                0.79837,                0.62134,                0.45345,                0.98243,               0.008614,               0.008614,               0.008614
                      9,                  0.808,                0.63171,                 1.1209,                0.94825,                0.89904,                0.93015,                0.80271,                  0.622,                0.44775,                0.98314,               0.008416,               0.008416,               0.008416
                     10,                0.79763,                0.61287,                 1.1154,                0.94943,                0.90179,                0.93088,                0.80834,                0.60966,                0.41985,                 0.9771,               0.008218,               0.008218,               0.008218
                     11,                0.78568,                0.60393,                 1.1076,                0.92006,                0.92785,                 0.9362,                0.80715,                0.61143,                0.42492,                0.97893,                0.00802,                0.00802,                0.00802
                     12,                0.78105,                0.59029,                 1.1043,                0.93689,                0.91092,                0.93944,                0.81674,                0.59254,                0.41004,                0.96507,               0.007822,               0.007822,               0.007822
                     13,                0.77687,                0.58556,                 1.1042,                 0.9429,                0.91546,                0.93413,                0.81662,                0.58381,                0.40295,                0.96069,               0.007624,               0.007624,               0.007624
                     14,                 0.7677,                0.57367,                 1.0968,                0.94591,                0.90958,                0.93982,                0.82064,                0.58363,                0.38924,                0.96009,               0.007426,               0.007426,               0.007426
                     15,                 0.7594,                0.56771,                 1.0934,                0.91833,                0.92202,                0.93499,                0.81669,                0.57659,                0.39787,                0.95592,               0.007228,               0.007228,               0.007228
                     16,                0.75648,                0.55762,                  1.091,                0.93475,                0.91464,                0.93611,                0.82115,                0.56725,                0.39711,                0.95044,                0.00703,                0.00703,                0.00703
                     17,                0.74628,                0.54708,                 1.0856,                0.95495,                0.91243,                0.93692,                0.82096,                0.57402,                0.38749,                 0.9553,               0.006832,               0.006832,               0.006832
                     18,                0.74788,                0.54596,                 1.0857,                0.96547,                0.90517,                0.93891,                0.82538,                0.56236,                 0.3753,                0.94391,               0.006634,               0.006634,               0.006634
                     19,                0.73746,                0.53737,                 1.0803,                0.93616,                0.93569,                0.94248,                0.82662,                0.55815,                0.36757,                 0.9458,               0.006436,               0.006436,               0.006436
                     20,                0.73245,                0.53313,                 1.0777,                 0.9514,                0.91062,                0.94106,                0.83286,                0.55353,                0.37161,                0.94695,               0.006238,               0.006238,               0.006238
                     21,                0.72688,                0.52587,                 1.0741,                0.95192,                0.91112,                0.94029,                0.82869,                0.55133,                0.37186,                0.94134,                0.00604,                0.00604,                0.00604
                     22,                0.72452,                0.52192,                  1.075,                0.94811,                0.92349,                 0.9412,                0.83176,                0.54733,                0.36335,                0.93879,               0.005842,               0.005842,               0.005842
                     23,                0.71923,                 0.5157,                 1.0684,                0.94991,                0.93446,                 0.9444,                0.83458,                0.54317,                0.36021,                0.93873,               0.005644,               0.005644,               0.005644
                     24,                0.71374,                0.50994,                 1.0701,                 0.9488,                 0.9335,                0.94415,                0.83662,                0.54364,                0.35945,                0.93786,               0.005446,               0.005446,               0.005446
                     25,                0.71022,                0.49999,                 1.0651,                 0.9384,                0.93773,                0.94335,                0.83855,                0.54436,                0.35476,                0.93933,               0.005248,               0.005248,               0.005248
                     26,                0.70782,                0.49899,                 1.0628,                0.94174,                0.93163,                0.94354,                0.83985,                0.53554,                0.34855,                0.93088,                0.00505,                0.00505,                0.00505
                     27,                0.69937,                0.49446,                 1.0593,                0.95582,                0.93001,                0.94749,                0.84112,                0.53821,                 0.3534,                0.93477,               0.004852,               0.004852,               0.004852
                     28,                0.69485,                0.49015,                 1.0578,                0.94881,                0.93672,                 0.9464,                0.83883,                0.53496,                0.34918,                0.93298,               0.004654,               0.004654,               0.004654
                     29,                0.69417,                0.48567,                 1.0582,                0.94401,                0.93983,                0.94549,                 0.8384,                0.53503,                0.35004,                0.93571,               0.004456,               0.004456,               0.004456
