                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     30,                0.68911,                0.47919,                 1.0535,                0.94843,                0.93797,                0.94719,                0.84012,                0.53113,                0.34579,                 0.9322,               0.004258,               0.004258,               0.004258
                     31,                0.68689,                0.47449,                 1.0511,                0.95614,                0.93069,                0.94754,                0.84141,                0.52761,                0.34447,                0.92875,                0.00406,                0.00406,                0.00406
                     32,                0.67717,                0.47012,                 1.0482,                0.95312,                0.93694,                0.94729,                0.84232,                0.52733,                0.34383,                0.92873,               0.003862,               0.003862,               0.003862
                     33,                 0.6736,                0.46669,                 1.0445,                0.95581,                0.93534,                0.94727,                0.84304,                0.52336,                0.34247,                0.92612,               0.003664,               0.003664,               0.003664
                     34,                0.67178,                0.46233,                 1.0437,                0.93874,                0.93957,                0.94547,                  0.843,                0.52126,                 0.3413,                0.92551,               0.003466,               0.003466,               0.003466
                     35,                 0.6647,                0.45559,                  1.039,                0.93726,                0.93819,                0.94573,                0.84227,                0.52183,                0.34371,                0.92608,               0.003268,               0.003268,               0.003268
                     36,                 0.6605,                0.45195,                 1.0384,                 0.9477,                0.93801,                0.94755,                0.84494,                0.52124,                0.34296,                0.92602,                0.00307,                0.00307,                0.00307
                     37,                0.65446,                0.44417,                 1.0343,                0.94981,                0.93801,                0.94823,                0.84679,                0.51897,                 0.3413,                0.92443,               0.002872,               0.002872,               0.002872
                     38,                0.65075,                0.44077,                 1.0362,                0.94994,                0.93785,                0.94794,                0.84602,                0.51741,                0.33913,                0.92397,               0.002674,               0.002674,               0.002674
                     39,                0.64614,                 0.4354,                 1.0328,                0.95138,                 0.9379,                0.94796,                0.84683,                0.51658,                0.33828,                 0.9237,               0.002476,               0.002476,               0.002476
                     40,                 0.6099,                0.35998,                 1.0149,                0.95294,                0.93675,                0.94801,                0.84756,                0.51614,                0.33784,                0.92468,               0.002278,               0.002278,               0.002278
                     41,                0.60025,                0.35216,                 1.0086,                 0.9515,                0.93585,                0.94784,                0.84924,                0.51499,                0.33717,                0.92411,                0.00208,                0.00208,                0.00208
                     42,                0.59073,                0.34533,                 1.0056,                0.95268,                0.93665,                0.94786,                0.84882,                0.51293,                0.33617,                0.92323,               0.001882,               0.001882,               0.001882
                     43,                0.58099,                0.33593,                0.99728,                0.95848,                0.93112,                0.94814,                 0.8491,                0.51194,                0.33641,                0.92302,               0.001684,               0.001684,               0.001684
                     44,                0.57527,                0.33028,                0.99459,                0.96016,                0.92995,                0.94821,                0.84864,                0.51152,                0.33576,                0.92274,               0.001486,               0.001486,               0.001486
                     45,                0.56802,                0.32403,                0.98913,                0.96075,                 0.9303,                0.94819,                0.84926,                0.51103,                0.33408,                0.92272,               0.001288,               0.001288,               0.001288
                     46,                0.56065,                0.31619,                 0.9828,                0.96091,                0.93027,                0.94831,                0.84956,                0.51052,                 0.3343,                 0.9224,                0.00109,                0.00109,                0.00109
                     47,                0.55337,                0.31109,                0.97734,                0.96166,                0.92946,                0.94842,                0.84978,                0.51019,                0.33337,                0.92246,               0.000892,               0.000892,               0.000892
                     48,                0.54406,                0.30244,                0.97413,                0.95877,                0.93166,                0.94873,                0.85053,                0.50975,                0.33306,                0.92238,               0.000694,               0.000694,               0.000694
                     49,                0.53669,                0.29541,                0.96782,                0.96224,                0.92919,                0.94888,                0.85099,                0.50968,                0.33234,                0.92284,               0.000496,               0.000496,               0.000496
