                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.0755,                0.92926,                 1.2368,                0.80119,                0.81166,                0.82707,                0.51447,                 1.3443,                 1.0106,                 1.4684,             0.00022067,             0.00022067,             0.00022067
                     35,                 1.0747,                0.91564,                 1.2341,                0.84094,                0.77426,                0.83661,                0.52521,                 1.3439,                 1.0063,                 1.4624,             0.00021748,             0.00021748,             0.00021748
                     36,                 1.0512,                0.89121,                 1.2286,                0.81747,                0.78607,                0.83428,                0.52212,                 1.3315,                0.99007,                 1.4522,             0.00021428,             0.00021428,             0.00021428
                     37,                  1.068,                0.89724,                 1.2286,                0.81529,                0.78141,                0.83197,                0.51554,                 1.3841,                 1.0031,                 1.4812,             0.00021108,             0.00021108,             0.00021108
                     38,                   1.05,                0.88271,                 1.2168,                0.81773,                0.80474,                0.84917,                0.53245,                 1.3298,                0.97181,                 1.4523,             0.00020788,             0.00020788,             0.00020788
                     39,                 1.0601,                0.88375,                 1.2302,                0.79807,                0.78811,                0.82665,                0.51303,                 1.3629,                 1.0097,                 1.4718,             0.00020469,             0.00020469,             0.00020469
                     40,                 1.0368,                0.84354,                 1.2134,                0.83664,                0.78147,                0.82495,                0.51099,                 1.3549,                0.97983,                 1.4691,             0.00020149,             0.00020149,             0.00020149
                     41,                 1.0143,                0.83262,                  1.202,                0.83005,                0.80675,                0.84018,                0.52265,                 1.3507,                0.96705,                 1.4699,             0.00019829,             0.00019829,             0.00019829
                     42,                 1.0353,                0.84705,                 1.2139,                0.81376,                0.81298,                0.84747,                 0.5307,                 1.3479,                0.93292,                 1.4643,             0.00019509,             0.00019509,             0.00019509
                     43,                 1.0279,                0.84318,                   1.21,                0.82602,                0.80376,                0.84502,                0.53195,                  1.343,                0.93858,                 1.4559,             0.00019189,             0.00019189,             0.00019189
                     44,                 1.0212,                0.83633,                 1.2071,                0.82666,                0.81518,                0.85227,                0.53434,                 1.3284,                0.92804,                 1.4378,              0.0001887,              0.0001887,              0.0001887
                     45,                 1.0023,                0.81284,                 1.1969,                0.81694,                0.80568,                0.83197,                0.51846,                 1.3535,                0.95205,                 1.4574,              0.0001855,              0.0001855,              0.0001855
                     46,                 1.0022,                0.80738,                 1.1971,                0.83979,                0.80751,                0.84718,                0.52245,                 1.3621,                0.95756,                 1.4746,              0.0001823,              0.0001823,              0.0001823
                     47,                 1.0213,                0.81309,                 1.2063,                0.84483,                0.79851,                0.84658,                 0.5217,                 1.3604,                0.92858,                 1.4799,              0.0001791,              0.0001791,              0.0001791
                     48,                 1.0202,                0.80258,                 1.2012,                0.86584,                 0.7771,                0.84425,                0.52968,                 1.3485,                0.93976,                 1.4694,             0.00017591,             0.00017591,             0.00017591
                     49,                 1.0087,                0.78566,                 1.1958,                0.84595,                0.80762,                0.85852,                0.53401,                 1.3535,                 0.9047,                 1.4663,             0.00017271,             0.00017271,             0.00017271
                     50,                0.98051,                0.77381,                 1.1846,                0.81313,                0.81124,                 0.8434,                0.53131,                 1.3356,                0.92959,                 1.4596,             0.00016951,             0.00016951,             0.00016951
                     51,                0.99596,                0.77426,                 1.1842,                0.82342,                0.81404,                 0.8475,                0.52727,                 1.3544,                0.94262,                 1.4793,             0.00016631,             0.00016631,             0.00016631
                     52,                0.98109,                0.76325,                 1.1743,                0.84911,                0.80614,                0.86086,                0.54972,                 1.3341,                0.90469,                 1.4398,             0.00016311,             0.00016311,             0.00016311
                     53,                0.98177,                0.77131,                 1.1857,                0.83766,                0.81147,                0.85155,                0.53742,                 1.3387,                0.94361,                 1.4602,             0.00015992,             0.00015992,             0.00015992
                     54,                0.97606,                0.76224,                 1.1722,                0.83263,                0.80182,                0.85674,                0.53703,                 1.3519,                0.92063,                 1.4625,             0.00015672,             0.00015672,             0.00015672
                     55,                0.98338,                0.74745,                 1.1715,                0.87109,                0.78344,                0.85539,                0.53216,                 1.3557,                0.88775,                 1.4776,             0.00015352,             0.00015352,             0.00015352
                     56,                0.96887,                0.74656,                 1.1694,                0.84498,                0.82161,                0.87102,                0.54755,                 1.3372,                0.88919,                 1.4537,             0.00015032,             0.00015032,             0.00015032
                     57,                0.96231,                0.73407,                 1.1721,                0.86852,                0.78872,                0.85604,                0.53917,                 1.3427,                0.92891,                 1.4645,             0.00014713,             0.00014713,             0.00014713
                     58,                0.95663,                0.73372,                 1.1627,                0.84964,                0.80094,                0.84725,                0.53068,                 1.3418,                0.91038,                 1.4628,             0.00014393,             0.00014393,             0.00014393
                     59,                0.95511,                0.72361,                 1.1589,                0.83553,                0.79414,                0.84862,                0.53047,                 1.3665,                0.91039,                 1.4828,             0.00014073,             0.00014073,             0.00014073
                     60,                0.95014,                0.72093,                 1.1617,                0.84096,                0.80451,                0.84147,                0.52876,                 1.3243,                  0.942,                 1.4593,             0.00013753,             0.00013753,             0.00013753
                     61,                0.94115,                0.71738,                 1.1568,                 0.8608,                  0.787,                0.84387,                0.52994,                 1.3384,                0.94994,                 1.4674,             0.00013434,             0.00013434,             0.00013434
                     62,                0.93695,                0.70816,                 1.1611,                0.85395,                0.80482,                0.86298,                0.54173,                 1.3481,                0.89364,                 1.4753,             0.00013114,             0.00013114,             0.00013114
                     63,                0.92664,                 0.6907,                 1.1479,                0.85899,                0.78985,                0.85968,                0.53911,                 1.3461,                0.88309,                 1.4657,             0.00012794,             0.00012794,             0.00012794
                     64,                0.93625,                0.69388,                 1.1499,                0.84775,                0.79228,                0.86418,                0.54112,                 1.3469,                0.89302,                 1.4728,             0.00012474,             0.00012474,             0.00012474
                     65,                0.93696,                0.71172,                 1.1515,                0.85681,                 0.7998,                 0.8515,                0.54105,                 1.3427,                0.90776,                 1.4632,             0.00012154,             0.00012154,             0.00012154
                     66,                0.93263,                0.69655,                  1.151,                0.84767,                 0.7956,                0.85533,                0.53838,                 1.3534,                0.92062,                 1.4806,             0.00011835,             0.00011835,             0.00011835
                     67,                0.91992,                0.68669,                 1.1483,                0.83801,                0.81319,                0.85055,                 0.5357,                 1.3569,                0.92296,                 1.4825,             0.00011515,             0.00011515,             0.00011515
                     68,                0.92475,                0.67743,                  1.145,                0.86519,                0.79178,                0.85981,                 0.5471,                 1.3482,                0.88129,                 1.4717,             0.00011195,             0.00011195,             0.00011195
                     69,                0.90887,                0.66503,                 1.1391,                0.84008,                0.81684,                0.86032,                0.54402,                 1.3408,                0.87381,                 1.4732,             0.00010875,             0.00010875,             0.00010875
                     70,                0.91592,                0.67989,                 1.1436,                0.84778,                0.81865,                0.86589,                0.54347,                  1.367,                0.91305,                 1.4922,             0.00010556,             0.00010556,             0.00010556
